date "fuel consumption"
2017/12/1 728
2017/11/1 1199
2017/10/1 1666
2017/09/1 2093
2017/08/1 2349
2017/07/1 2378
2017/06/1 2570
2017/05/1 2168
2017/04/1 1989
2017/03/1 1935
2017/02/1 1238
2017/01/1 655
2016/12/1 1156
2016/11/1 1590
2016/10/1 1770
2016/09/1 1806
2016/08/1 2403
2016/07/1 2475
2016/06/1 2618
2016/05/1 2033
2016/04/1 2297
2016/03/1 2084
2016/02/1 1291
2016/01/1 1483
2015/12/1 764
2015/11/1 1371
2015/10/1 1908
2015/09/1 2184
2015/08/1 2614
2015/07/1 2404
2015/06/1 2151
2015/05/1 2601
2015/04/1 2269
2015/03/1 1762
2015/02/1 1376
2015/01/1 1240
2014/12/1 922
2014/11/1 1387
2014/10/1 1514
2014/09/1 2059
2014/08/1 2471
2014/07/1 2503
2014/06/1 2421
2014/05/1 2306
2014/04/1 2407
2014/03/1 1973
2014/02/1 1405
2014/01/1 981
2013/12/1 958
2013/11/1 1373
2013/10/1 1836
2013/09/1 2280
2013/08/1 2080
2013/07/1 2397
2013/06/1 2486
2013/05/1 2412
2013/04/1 2687
2013/03/1 1973
2013/02/1 1292
2013/01/1 1262
